month,new_listings
2008-11-01 00:00:00,4
2009-01-01 00:00:00,1
2009-02-01 00:00:00,2
2009-03-01 00:00:00,2
2009-04-01 00:00:00,3
2009-05-01 00:00:00,1
2009-06-01 00:00:00,2
2009-08-01 00:00:00,20
2009-09-01 00:00:00,8
2009-10-01 00:00:00,2
2009-11-01 00:00:00,14
2009-12-01 00:00:00,9
2010-01-01 00:00:00,38
2010-02-01 00:00:00,3
2010-03-01 00:00:00,6
2010-04-01 00:00:00,12
2010-05-01 00:00:00,3
2010-06-01 00:00:00,1
2010-07-01 00:00:00,18
2010-08-01 00:00:00,22
2010-09-01 00:00:00,18
2010-10-01 00:00:00,4
2010-11-01 00:00:00,14
2010-12-01 00:00:00,10
2011-01-01 00:00:00,8
2011-02-01 00:00:00,15
2011-03-01 00:00:00,53
2011-04-01 00:00:00,13
2011-05-01 00:00:00,32
2011-06-01 00:00:00,45
2011-07-01 00:00:00,40
2011-08-01 00:00:00,44
2011-09-01 00:00:00,45
2011-10-01 00:00:00,65
2011-11-01 00:00:00,27
2011-12-01 00:00:00,11
2012-01-01 00:00:00,31
2012-02-01 00:00:00,37
2012-03-01 00:00:00,37
2012-04-01 00:00:00,38
2012-05-01 00:00:00,54
2012-06-01 00:00:00,44
2012-07-01 00:00:00,81
2012-08-01 00:00:00,49
2012-09-01 00:00:00,45
2012-10-01 00:00:00,52
2012-11-01 00:00:00,35
2012-12-01 00:00:00,36
2013-01-01 00:00:00,30
2013-02-01 00:00:00,85
2013-03-01 00:00:00,59
2013-04-01 00:00:00,63
2013-05-01 00:00:00,76
2013-06-01 00:00:00,35
2013-07-01 00:00:00,84
2013-08-01 00:00:00,110
2013-09-01 00:00:00,67
2013-10-01 00:00:00,65
2013-11-01 00:00:00,51
2013-12-01 00:00:00,51
2014-01-01 00:00:00,62
2014-02-01 00:00:00,69
2014-03-01 00:00:00,73
2014-04-01 00:00:00,67
2014-05-01 00:00:00,87
2014-06-01 00:00:00,70
2014-07-01 00:00:00,86
2014-08-01 00:00:00,119
2014-09-01 00:00:00,69
2014-10-01 00:00:00,58
2014-11-01 00:00:00,84
2014-12-01 00:00:00,56
2015-01-01 00:00:00,96
2015-02-01 00:00:00,60
2015-03-01 00:00:00,69
2015-04-01 00:00:00,82
2015-05-01 00:00:00,99
2015-06-01 00:00:00,99
2015-07-01 00:00:00,106
2015-08-01 00:00:00,126
2015-09-01 00:00:00,78
2015-10-01 00:00:00,67
2015-11-01 00:00:00,64
2015-12-01 00:00:00,35
2016-01-01 00:00:00,5
,2
